case_id	outcome	reason	ack	reject	flip	header_bytes	query_status	query_reason	n_steps	blob_len
PA24-V-01	LOAD_OK	0	1	0	1	128			0	208
PA24-V-02	LOAD_OK	0	1	0	1	128			0	208
PA24-V-03	LOAD_OK	0	1	0	1	128			0	280
PA24-V-04	LOAD_OK	0	1	0	1	128			0	208
PA24-S-01	LOAD_REJECT	3	0	1	0	128			0	208
PA24-S-02	LOAD_REJECT	3	0	1	0	128			0	208
PA24-S-03	LOAD_REJECT	3	0	1	0	128			0	208
PA24-S-04	LOAD_REJECT	3	0	1	0	128			0	208
PA24-A-01	LOAD_REJECT	2	0	1	0	128			0	132
PA24-A-02	LOAD_REJECT	1	0	1	0	128			0	132
PA24-A-03	LOAD_REJECT	9	0	1	0	132			0	136
PA24-A-04	LOAD_REJECT	15	0	1	0	64			0	68
PA24-C-01	LOAD_REJECT	13	0	1	0	128			0	208
PA24-C-02	LOAD_REJECT	13	0	1	0	128			0	208
PA24-C-03	LOAD_REJECT	13	0	1	0	128			0	208
PA24-C-04	LOAD_REJECT	13	0	1	0	128			0	208
PA24-R-01	LOAD_REJECT	5	0	1	0	128			0	208
PA24-R-02	LOAD_REJECT	4	0	1	0	128			0	132
PA24-R-03	LOAD_REJECT	5	0	1	0	128			0	208
PA24-R-04	LOAD_OK	0	1	0	1	128	6	80	0	288
PA24-G-01	LOAD_OK	0	1	0	1	128			2	208
PA24-G-02	LOAD_REJECT	7	0	1	0	128			0	132
PA24-G-03	LOAD_REJECT	7	0	1	0	128			0	132
PA24-G-04	LOAD_REJECT	5	0	1	0	128	6	84	4	208
